"名称","城市","纬度","经度","分类","介绍","官网"
"巴塞罗那 · 01 圣家堂","巴塞罗那","41.40369","2.17433","经典景点","圣家堂将宗教象征、自然形态和结构实验融合在一起，是高迪最具代表性的作品之一。外部立面讲述不同圣经故事，内部柱子像树干一样分叉托起穹顶，彩色玻璃随光线变化，让同一个空间在不同时段呈现不同气氛。
建议预留：1.5–2 小时；登塔另留时间
看点：比较诞生立面与受难立面的雕刻风格；进入中殿后，留意树状立柱和两侧冷暖色玻璃。
参观提示：先确定入场时段，再安排同一天其他景点。登塔属于不同参观选项，购票时核对包含内容与条件。
景点官网：https://blog.sagradafamilia.org/en/stained-glass-light-colour-creation/
位置来源：https://en.wikipedia.org/wiki/Sagrada_Fam%C3%ADlia
位置为旅行规划参考，不代表售票口或唯一入口。","https://blog.sagradafamilia.org/en/stained-glass-light-colour-creation/"
"巴塞罗那 · 02 古埃尔公园","巴塞罗那","41.41361111","2.15277778","经典景点","古埃尔公园把建筑融入山坡：马赛克、石柱、曲线长椅与架空步道共同构成一座可行走的设计作品。它原本与住宅开发计划有关，后来成为公园；游览时既可以看高迪的细部处理，也能从高处理解巴塞罗那向海展开的城市格局。
建议预留：1.5–2 小时
看点：入口蜥蜴喷泉、柱厅、蛇形长椅及广场远景；留意碎瓷拼贴与自然石材的对比。
参观提示：园区有坡度和台阶，穿好走的鞋。按所选入口规划交通，核心区域与园区其他部分的参观条件需在购票时核对。
景点官网：https://www.spain.info/en/destination/barcelona/
位置来源：https://en.wikipedia.org/wiki/Park_G%C3%BCell
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/barcelona/"
"巴塞罗那 · 03 巴特罗之家","巴塞罗那","41.39158","2.16492","经典景点","巴特罗之家是一座经高迪改造的城市住宅，立面、采光井、门窗和屋顶都延续着有机曲线。它不仅是一栋外形奇特的房子，也展示了建筑师如何处理光线、通风和日常居住；从室内看细节，才能理解外观背后的设计逻辑。
建议预留：1–1.5 小时
看点：骨骼般的阳台、波浪状立面、蓝色采光井与富有鳞片感的屋顶。
参观提示：外观可与格拉西亚大道散步结合；若入内，先比较不同票种包含的空间和导览，不必为了附加项目压缩主参观时间。
景点官网：https://www.spain.info/en/destination/barcelona/
位置来源：https://en.wikipedia.org/wiki/Casa_Batll%C3%B3
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/barcelona/"
"巴塞罗那 · 04 哥特区","巴塞罗那","41.38277778","2.17694444","经典景点","哥特区保存了巴塞罗那老城的街巷格局，罗马遗迹、中世纪建筑和后来的改建共同构成今天的面貌。它适合围绕广场和巷道慢慢探索：短短几步就可能从热闹街道进入安静庭院，体验城市历史在日常生活中的延续。
建议预留：1.5–2.5 小时
看点：巴塞罗那主教座堂周边、国王广场及主教街；著名跨街廊桥属于较晚时期的建造。
参观提示：以几个广场作为定位点即可，不必逐巷赶路；可接着去波恩区或海边。参观教堂时区分礼拜区域与旅游参观入口。
景点官网：https://www.spain.info/en/destination/barcelona/
位置来源：https://en.wikipedia.org/wiki/Gothic_Quarter%2C_Barcelona
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/barcelona/"
"巴塞罗那 · 05 阿马特耶之家","巴塞罗那","41.39166667","2.165","宅邸与收藏","巴特罗之家旁边这栋常被路过的房子，恰好很适合你们：它是巧克力实业家、摄影爱好者与收藏家 Antoni Amatller 的住宅。主层保留约 1900 年的家具和艺术收藏，参观重点是当年的家庭生活与审美，而不只是拍立面。
建议预留：约 1 小时，按所选场次
看点：室内原有家具、艺术藏品、现代主义装饰和业主故事；先听讲解，再看房间之间的使用关系。
参观提示：选择允许进入住宅主层的参观产品，确认讲解语言；目前提供包括中文在内的语音导览，2027 语言与场次以官网为准。
顺路：可与巴特罗之家同日；若只想再选一栋住宅，优先给阿马特耶而不是增加第三栋建筑。
景点官网：https://www.casessingulars.com/visitas/casa-amatller/
位置来源：https://en.wikipedia.org/wiki/Casa_Amatller
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.casessingulars.com/visitas/casa-amatller/"
"巴塞罗那 · 06 弗雷德里克·马雷斯博物馆","巴塞罗那","41.384201","2.176698","宅邸与收藏","雕塑家兼收藏家 Frederic Marès 把个人收藏捐给巴塞罗那，内容从雕塑延伸到大量日常小物。它的趣味在于收藏眼光：普通生活物件也可以成为观察一个时代的线索。馆址属于旧王宫建筑群，并非保留原样的马雷斯家宅。
建议预留：1.5–2 小时
看点：雕塑收藏与“收藏家陈列室”的日常物件两条线；喜欢老物件、工艺与城市生活史，往往会比只看名画更投入。
参观提示：安排在哥特区游览时，留时间看小件展品。请区分“收藏家博物馆”和“收藏家原宅”，这里属于前者。
顺路：与大教堂、哥特区步行组合，最适合作为老城路线的文化加餐。
景点官网：https://visitmuseum.gencat.cat/en/museum/museu-frederic-mares
位置来源：https://en.wikipedia.org/wiki/Museu_Frederic_Mar%C3%A8s
位置为旅行规划参考，不代表售票口或唯一入口。","https://visitmuseum.gencat.cat/en/museum/museu-frederic-mares"
"巴塞罗那 · 07 加泰罗尼亚国家艺术博物馆","巴塞罗那","41.36833","2.15331","美术馆","坐落在蒙锥克山国家宫，最值得为它留时间的是加泰罗尼亚艺术的地方脉络：罗曼式壁画、哥特式宗教艺术与近现代作品，让旅途不止停留在高迪。建筑外的平台视野也很好，但真正看馆藏需要单独留半天。
建议预留：2–3 小时，深看可半天
看点：优先选罗曼式艺术与近现代艺术中的一部分，结合教堂壁画原来的空间语境理解作品。
参观提示：若与米罗基金会同日，两馆都只选重点；想细看则二选一。具体展厅、作品调动与票种查官网。
顺路：与蒙锥克山散步组合，不要再在同半天塞入圣家堂。
景点官网：https://www.museunacional.cat/es/coleccion
位置来源：https://en.wikipedia.org/wiki/Museu_Nacional_d%27Art_de_Catalunya
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.museunacional.cat/es/coleccion"
"巴塞罗那 · 08 巴塞罗那毕加索博物馆","巴塞罗那","41.385216","2.180893","美术馆","这座馆更适合看毕加索如何成长：早期学习、与巴塞罗那的联系，以及后来对委拉斯开兹《宫娥》的重新演绎。它位于蒙卡达街的历史建筑中，参观完可直接继续波恩区散步；与马拉加的毕加索馆可以按个人兴趣择一深看。
建议预留：1.5–2.5 小时
看点：早期绘画与《宫娥》系列；先看年轻时较写实的画，再看后来如何重组人物与空间。
参观提示：预约具体时段；画作会借展或轮换。如果并非毕加索爱好者，巴塞罗那与马拉加两馆不用都作为必去。
顺路：与波恩区、圣玛丽亚海洋教堂周边步行组合。
景点官网：https://patrimoni.gencat.cat/en/collection/picasso-museum
位置来源：https://en.wikipedia.org/wiki/Museu_Picasso
位置为旅行规划参考，不代表售票口或唯一入口。","https://patrimoni.gencat.cat/en/collection/picasso-museum"
"巴塞罗那 · 09 米罗基金会","巴塞罗那","41.36861111","2.16","美术馆","如果比起古典宗教画，你们更喜欢鲜明色彩、简洁符号和自由的想象力，可以把蒙锥克山的美术馆名额给米罗。作品与明亮建筑空间共同构成参观体验，适合慢慢看画和雕塑，再接一段山上散步。
建议预留：1.5–2 小时
看点：观察米罗反复使用的颜色、符号与物件怎样变化，不必追求把每件作品都解释成固定含义。
参观提示：从当前官网确认开放与导览安排；若选择 MNAC 深看，米罗可以留作另一半天或替换项目。
顺路：蒙锥克山半天：米罗基金会＋山上花园；与 MNAC 按兴趣选。
景点官网：https://www.fmirobcn.org/en/visit-us/guided-tours/117/joan-miro-collection-guided-tour-in-spanish
位置来源：https://en.wikipedia.org/wiki/Fundaci%C3%B3_Joan_Mir%C3%B3
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.fmirobcn.org/en/visit-us/guided-tours/117/joan-miro-collection-guided-tour-in-spanish"
"巴塞罗那 · 10 加泰罗尼亚音乐宫","巴塞罗那","41.3875","2.17555556","地方特色","除了住宅与教堂，巴塞罗那的现代主义也能在音乐厅里体验。彩色玻璃、装饰柱与演奏空间让建筑本身像一件工艺品；白天参观便于看细节，晚上听音乐则重在现场气氛，两种体验可以按兴趣选择。
建议预留：建筑参观约 1 小时；演出按节目时长
看点：主厅彩色玻璃与装饰细节；若挑演出，先看节目内容、座位视线与结束时间。
参观提示：参观票与音乐会票是不同产品，不能默认互通或包含同一参观区域。确认导览语言、场次和演出安排。
顺路：可和哥特区、马雷斯博物馆分上午下午安排；演出适合加在晚间。
景点官网：https://www.palaumusica.cat/en/buy-tickets_1641072
位置来源：https://en.wikipedia.org/wiki/Palau_de_la_M%C3%BAsica_Catalana
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.palaumusica.cat/en/buy-tickets_1641072"
"瓦伦西亚 · 01 艺术科学城","瓦伦西亚","39.45416667","-0.35","经典景点","艺术科学城是瓦伦西亚极具辨识度的现代建筑群，以白色结构、水池倒影和富有未来感的轮廓见长。这里包含不同展馆和文化设施，既适合建筑摄影，也能按兴趣安排科学展览、水族馆或演出，体验与老城完全不同的一面。
建议预留：外观 1–2 小时；入馆可留半天至一天
看点：半球形建筑 Hemisfèric、科学博物馆外观，以及各建筑之间水池形成的倒影。
参观提示：先决定是拍建筑还是进展馆；不同场馆的门票和参观时间并不相同，不要把整个建筑群当成单一场馆。
景点官网：https://www.spain.info/en/destination/valencia/
位置来源：https://en.wikipedia.org/wiki/City_of_Arts_and_Sciences
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/valencia/"
"瓦伦西亚 · 02 丝绸交易厅","瓦伦西亚","39.47441667","-0.37844444","经典景点","丝绸交易厅见证了瓦伦西亚海上贸易兴盛的历史，是世俗哥特式建筑的代表。它并非宫殿，却用庄严的大厅和精细石雕体现商业活动的重要性；内部的螺旋柱向上延伸，营造出类似石头棕榈林的空间感。
建议预留：45–60 分钟
看点：交易大厅的螺旋石柱、拱顶，以及庭院与立面细部。
参观提示：可与附近中央市场连续安排。先在大厅里看整体比例，再靠近观察柱子和石雕，比只在门外拍照更有收获。
景点官网：https://www.spain.info/en/destination/valencia/
位置来源：https://en.wikipedia.org/wiki/Lonja_de_la_Seda
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/valencia/"
"瓦伦西亚 · 03 中央市场","瓦伦西亚","39.47355806","-0.37892111","经典景点","中央市场既是采购食材的地方，也是一座值得欣赏的现代主义市场建筑。金属结构、玻璃采光和陶瓷装饰下，蔬菜、水果、海鲜与肉制品摊位体现着瓦伦西亚的饮食习惯，适合从食材角度认识这座城市。
建议预留：45–75 分钟
看点：中央穹顶、彩色玻璃与装饰瓷砖；边逛边观察当地米饭料理常用的食材。
参观提示：建议把市场放在白天的老城路线里，先查营业日和时段。市场有真实采购需求，拍照时给摊主与顾客留出空间。
景点官网：https://www.spain.info/en/destination/valencia/
位置来源：https://en.wikipedia.org/wiki/Mercado_Central%2C_Valencia
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/valencia/"
"瓦伦西亚 · 04 马尔瓦罗萨海滩","瓦伦西亚","39.47916667","-0.32305556","经典景点","马尔瓦罗萨是一片开阔的城市沙滩，海岸线平直，背后连接步道和餐饮区。它的乐趣主要是海边散步、看浪和慢慢吃一顿饭，与老城密集的建筑景点形成很好的节奏对比。
建议预留：散步 1–2 小时；休闲可留半天
看点：宽阔沙滩、滨海步道和地中海开阔视野；适合拍简洁的海岸风景。
参观提示：四月不必以游泳为主要目标，可根据风力与体感安排停留；将午餐和海边散步放在同一段行程更从容。
景点官网：https://www.spain.info/en/destination/valencia/
位置来源：https://es.wikipedia.org/wiki/Playa_de_la_Malvarrosa
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/valencia/"
"瓦伦西亚 · 05 两水侯爵宫 · 国家陶瓷博物馆","瓦伦西亚","39.47269","-0.37472","宅邸与收藏","浓密雕饰的宫殿立面背后，是历史贵族住宅空间与陶瓷博物馆的组合。它兼具室内装饰与瓦伦西亚陶瓷传统，很适合不想只看城市地标的人。今天的博物馆收藏另有建馆来源，不能全部当作原侯爵家族留下的私人收藏。
建议预留：1–1.5 小时
看点：历史宫殿房间、装饰细节与陶瓷工艺；看建筑与收藏两条线，而不只在门口拍照。
参观提示：2026 年官方公告立面修复，2027 外观与开放区域要复核；配图展示建筑实景，不代表到访时没有脚手架。
顺路：与老城、中央市场安排同一天；比再加一个远郊点更顺路。
景点官网：https://www.cultura.gob.es/mnceramica/el-museo/historia/historia-edificio.html
位置来源：https://en.wikipedia.org/wiki/Gonz%C3%A1lez_Mart%C3%AD_National_Museum_of_Ceramics_and_Decorative_Arts
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.cultura.gob.es/mnceramica/el-museo/historia/historia-edificio.html"
"瓦伦西亚 · 06 瓦伦西亚美术博物馆","瓦伦西亚","39.479","-0.371","美术馆","想在瓦伦西亚多看一点艺术，这里比继续追建筑打卡更值得留半天。收藏中有索罗亚、皮纳索等与当地光线和绘画传统密切相关的艺术家，也能看到更早期的作品与历史建筑空间。
建议预留：1.5–2.5 小时
看点：优先看瓦伦西亚画家与索罗亚相关馆藏，穿插维奇大使庭院；不把过往临展当成常设保证。
参观提示：现行常规周一闭馆；具体作品在展情况及 2027 开放安排查官网。若马德里索罗亚故居仍闭馆，可在此补艺术兴趣，但体验不同。
顺路：配图里亚花园散步，适合城市多住一晚时安排。
景点官网：https://www.visitvalencia.com/it/cosa-fare-valencia/cultura-valenciana/valencia-musei/museo-delle-belle-arti-di-valencia
位置来源：https://en.wikipedia.org/wiki/Museu_de_Belles_Arts_de_Val%C3%A8ncia
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.visitvalencia.com/it/cosa-fare-valencia/cultura-valenciana/valencia-musei/museo-delle-belle-arti-di-valencia"
"瓦伦西亚 · 07 丝绸博物馆与丝绸业行会馆","瓦伦西亚","39.470853","-0.380917","地方特色","丝绸交易所讲贸易，这里则把视线拉回丝织行业本身：行会历史、织物与传统工艺，帮助理解瓦伦西亚为什么会留下那么重要的丝绸建筑。馆舍与展陈适合对地方手艺、织物和老行业有兴趣的人。
建议预留：约 1 小时
看点：丝织历史、展出的织物与行会建筑；如希望看织造演示，提前确认当天是否安排。
参观提示：现行常规周一闭馆；演示或特别活动不能默认每天都有。和丝绸交易所是不同景点，不共用同一参观安排。
顺路：丝绸交易所＋中央市场＋丝绸博物馆，组成老城工艺半天。
景点官网：https://www.museodelasedavalencia.com/
位置来源：https://es.wikipedia.org/wiki/Colegio_del_Arte_Mayor_de_la_Seda
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.museodelasedavalencia.com/"
"塞维利亚 · 01 塞维利亚王宫","塞维利亚","37.38442615","-5.99118663","经典景点","塞维利亚王宫是一组经过不同时期增建的宫殿，穆德哈尔装饰、庭院、水景与花园构成核心体验。建筑中的伊斯兰艺术语言与基督教王室需求相结合，使这里适合观察西班牙南部文化交汇留下的具体痕迹。
建议预留：2–3 小时
看点：少女庭院、使节厅的装饰，以及宫殿后的花园；重点观察拱门、瓷砖和木作之间的呼应。
参观提示：建议提前安排入场时段，并把花园时间算进去。可与圣十字区同日游览，大教堂则视体力分开安排。
景点官网：https://www.spain.info/en/destination/seville/
位置来源：https://es.wikipedia.org/wiki/Real_Alc%C3%A1zar_de_Sevilla
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/seville/"
"塞维利亚 · 02 塞维利亚大教堂与吉拉达塔","塞维利亚","37.38589444","-5.99305556","经典景点","塞维利亚大教堂以宏大的哥特式空间著称，吉拉达塔则保留了先前宣礼塔的建筑基础，并在后期加入钟楼。把教堂与塔楼一起看，可以直接感受到城市宗教与建筑历史的层层变化。
建议预留：1.5–2 小时
看点：主祭坛、哥伦布墓，以及塔顶向老城展开的视野；留意塔楼内部坡道式的上行路线。
参观提示：登塔仍需要体力，建议与长时间步行错开；宗教活动会影响部分区域，先确认参观时段和是否包含吉拉达塔。
景点官网：https://www.spain.info/en/destination/seville/
位置来源：https://en.wikipedia.org/wiki/Seville_Cathedral
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/seville/"
"塞维利亚 · 03 西班牙广场","塞维利亚","37.37694444","-5.98694444","经典景点","西班牙广场为伊比利亚—美洲博览会而建，以半圆形建筑、运河与桥梁形成强烈的舞台感。红砖、彩色瓷砖和长廊组合出丰富层次，既适合拍大场景，也适合近看各省主题的装饰细节。
建议预留：1–1.5 小时
看点：各省主题瓷砖壁龛、运河上的小桥，以及沿弧形延伸的柱廊。
参观提示：可连同玛丽亚路易莎公园一起游览；早晚步行通常更舒适。若有活动布场，按现场开放范围调整拍摄位置。
景点官网：https://www.spain.info/en/destination/seville/
位置来源：https://en.wikipedia.org/wiki/Plaza_de_Espa%C3%B1a%2C_Seville
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/seville/"
"塞维利亚 · 04 圣十字区","塞维利亚","37.385","-5.99027778","经典景点","圣十字区是塞维利亚最适合步行感受老城气氛的街区之一，狭窄巷道、小广场、橙树与庭院构成鲜明印象。这里与历史上的犹太社区有关，如今也有大量餐饮和住宿，适合在参观王宫后慢慢逛。
建议预留：1–1.5 小时
看点：白墙巷道、藏在转角的小广场，以及从街巷间突然出现的吉拉达塔视角。
参观提示：不必每条街都走到，选两三个广场串联即可；住宅庭院要尊重门禁，看到开放参观标识后再进入。
景点官网：https://www.spain.info/en/destination/seville/
位置来源：https://en.wikipedia.org/wiki/Santa_Cruz%2C_Seville
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/seville/"
"塞维利亚 · 05 莱布里哈伯爵夫人宫","塞维利亚","37.39222222","-5.99361111","宅邸与收藏","对你们而言，这可能是塞维利亚最值得补的一站。伯爵夫人把考古与艺术收藏带进自己的宅邸，罗马马赛克、古物、雕塑与安达卢西亚式房间融为一体。好看的不只是“宫殿豪华”，更是主人如何用收藏构造自己的生活环境。
建议预留：1–1.5 小时
看点：马赛克地面、庭院、考古藏品与起居空间；记得抬头看房间，也低头看地面图案。
参观提示：购票核对包含的楼层与讲解方式，不能把仅底层参观当成全宅邸体验。更想看生活陈设时优先确认上层是否可参观。
顺路：可与美术馆组成文化半天；若细看两处，连午餐留 4 小时更舒服。
景点官网：https://palaciodelebrija.com/
位置来源：https://en.wikipedia.org/wiki/Palace_of_the_Countess_of_Lebrija
位置为旅行规划参考，不代表售票口或唯一入口。","https://palaciodelebrija.com/"
"塞维利亚 · 06 彼拉多之家","塞维利亚","37.3899","-5.98711","宅邸与收藏","以庭院、彩釉瓷砖和古典雕塑见长的贵族宅邸，适合对建筑细节与工艺感兴趣的人。它展现了塞维利亚穆德哈尔传统与文艺复兴趣味的交会；相较王宫，尺度更接近一座家族住宅，步行体验也更从容。
建议预留：1–1.5 小时
看点：主庭院、瓷砖墙面、柱廊与雕塑的组合；留心不同材料和图案，而不是只拍一张对称庭院照。
参观提示：底层与其他区域的开放、票种可能不同，从管理方售票入口核对。若只增加一处收藏宅邸，先选莱布里哈；偏建筑可选这里。
顺路：与塞维利亚老城东侧散步组合；与莱布里哈按收藏／建筑偏好择一或分两天。
景点官网：https://visitasevilla.es/en/pilatos-house/
位置来源：https://en.wikipedia.org/wiki/Casa_de_Pilatos
位置为旅行规划参考，不代表售票口或唯一入口。","https://visitasevilla.es/en/pilatos-house/"
